date,sector,station_id,spores_gram,mean_temp_1daysbefore,mean_humidity_1daysbefore,min_temp_1daysbefore,max_temp_1daysbefore,min_humidity_1daysbefore,max_humidity_1daysbefore,mean_temp_3daysbefore,mean_humidity_3daysbefore,min_temp_3daysbefore,max_temp_3daysbefore,min_humidity_3daysbefore,max_humidity_3daysbefore,mean_temp_7daysbefore,mean_humidity_7daysbefore,mean_temp_30daysbefore,mean_humidity_30daysbefore,mean_temp_90daysbefore,mean_humidity_90daysbefore,mean_temp_15daysbefore,mean_humidity_15daysbefore
2022-12-13,H28,NVX_R712_00137A10000178AE,0,17.37722249821889,72.20576349893717,15.760000228881836,18.176666259765625,68.39333344,76.27333068847656,17.864791790631305,78.92831028829563,14.856666564941406,19.36333274841309,68.39333344,91.45333099365234,15.841329392931694,81.76285716444033,15.991988119636275,79.78368511702793,,,15.506680557454027,78.99247692933447
2022-12-27,H28,NVX_R712_00137A10000178AE,0,12.432222207403258,62.266388892935794,10.220000267028809,14.016666412353516,55.81333160400391,72.08333587646484,11.956435190312092,65.60189803432998,9.963333129882812,14.016666412353516,55.25,77.72666931152344,14.494424621281128,71.52579355229683,15.266675927906046,76.17276387199114,16.319243386002974,78.02437443834394,15.152893537960486,73.46737954876511
2023-01-04,H28,NVX_R712_00137A10000178AE,0,15.05631951491038,77.28395843513184,14.393333435058594,16.260000228881836,71.55000305175781,83.51667022705078,13.76962962414911,70.48224576353176,9.306666374206545,16.989999771118164,54.15333176,83.51667022705078,13.91474203837611,74.21340304334397,14.917106481405352,75.90213199715406,15.35201495398089,77.03987834399932,14.219319441598296,73.1438519583872
2023-01-10,H28,NVX_R712_00137A10000178AE,5000,16.628333250752565,80.44701290103028,15.81333351135254,17.116666793823242,74.45999908447266,87.21499633789062,16.925694359691736,75.75071721597942,13.65999984741211,19.799999237060547,62.93999862670898,87.21499633789062,15.822549570169882,76.86966273911354,15.097456014164015,74.65471995144826,15.41974019459209,77.01279175295531,14.664171263912575,74.63648627608859
2023-01-17,H28,NVX_R712_00137A10000178AE,0,12.431250015910543,72.59062480929931,10.396666526794434,14.213333129882812,68.23000336,76.48500061035156,12.647615710899592,71.01162004468803,10.396666526794434,16.649999618530273,53.369998931884766,88.46666717529297,14.336964300706175,74.82067453297475,14.731840268783262,74.50789589356681,15.2934163403054,76.75704474395758,15.06241202619388,75.63513893564532
2023-01-24,H28,NVX_R712_00137A10000178AE,0,14.859444379806519,80.25875027970541,13.550000190734863,16.133333206176758,71.54666900634766,87.97666931152344,14.702488395892198,74.24773168545885,13.550000190734863,16.459999084472656,62.29333496,87.97666931152344,13.86284225894835,74.88357164735532,14.314244200126861,74.47262743847783,15.143953376581528,76.56130874879017,14.268465277888952,75.2251157442227
2023-01-31,H28,NVX_R712_00137A10000178AE,15000,13.558194438600465,72.04875087780762,12.613333702087402,14.68999958,67.00333404541016,78.87999725341797,13.217546264335871,77.81745391438857,11.74666690826416,14.786666870117188,67.00333404541016,87.71666717529297,13.825718224623122,76.56754768911391,14.372969661288987,75.20509917051221,15.019255456801677,76.5618989188208,13.750078226727393,75.51656401097225
2023-02-10,H28,NVX_R712_00137A10000178AE,0,13.509861071904501,65.82444461213704,12.043333053588867,14.979999542236328,59.52999877929688,81.35333251953125,12.849398096402487,68.70537063832967,11.829999923706056,14.979999542236328,59.52999877929688,81.35333251953125,14.034032708120334,78.1559326762532,13.971149059931678,76.2243445300996,14.890134847036517,76.6833858395282,13.809493035740322,77.04437051353105
2023-02-14,H28,NVX_R712_00137A10000178AE,0,12.62458340326945,73.8612497644218,9.296667098999023,14.483333587646484,62.66666793823242,86.62000274658203,13.138148148854574,75.24814833518433,9.296667098999023,17.206666946411133,62.03666687011719,86.62000274658203,13.154742042223614,72.14664704460182,13.704887482324706,75.68209224910068,14.821662808607103,76.59448668088172,13.762641186180094,76.45220392017737
2023-02-28,H28,NVX_R712_00137A10000178AE,0,13.819027662348226,67.17291688958822,11.963333129882812,16.07666588,57.04333496,82.93333435058594,14.87141201233049,73.93777789025961,11.963333129882812,17.763334274291992,57.04333496,89.46333312988281,14.574613071622041,78.71202396219441,13.933938639686337,76.37351405361292,14.437761870403884,75.86284715897783,14.089300915918294,75.84475008652007
2023-03-07,H28,NVX_R712_00137A10000178AE,0,15.404930512094422,80.2972917554549,13.196666717529297,17.010000228881836,65.02666473388672,89.34999847,14.542199068575608,73.6882639990648,11.303333282470703,17.010000228881836,55.44666672,89.34999847,14.89488093624689,77.32205381842371,14.141912021892585,75.95836823254044,14.493075915001741,76.00160642941107,14.673768496503785,77.70624559194233
2023-03-14,H28,NVX_R712_00137A10000178AE,0,15.541388869269612,73.31222263998494,13.670000076293944,17.59666633605957,63.97999954223633,87.59666442871094,15.927569495312397,78.17131937894776,13.670000076293944,17.59666633605957,57.29999923706055,91.64666748046876,16.24277781306,79.78869036256881,14.748192127539586,76.99799314604128,14.509543508337227,76.01603697353151,15.452175927166428,77.79654174376905
2023-03-21,H28,NVX_R712_00137A10000178AE,0,14.688166658035685,71.2988055548641,12.376667022705078,17.860000610351562,64.78333282470703,77.70666504,15.518972198157789,76.8815926977927,12.376667022705078,18.206666946411133,60.70666504,90.36666870117188,15.13976879459513,74.66336610439608,15.12180484294455,77.40775078457999,14.460441421048687,75.82087825987729,15.672183784378685,77.43077913494727
